主編碼,屬性,詞目,音讀,文白,部首
140,1,入院,ji̍p-īnn/li̍p-īnn,0,
141,1,人參,jîn-sim/lîn-sim,0,
142,1,人情,jîn-tsîng/lîn-tsîng,0,
143,1,人情世事,jîn-tsîng-sè-sū/lîn-tsîng-sè-sū,0,
144,1,入教,ji̍p-kàu/li̍p-kàu,0,
145,1,人望,jîn-bōng/lîn-bōng,0,
146,1,人造,jîn-tsō/lîn-tsō,0,
147,1,刀喙,to-tshuì,0,
149,1,入場,ji̍p-tiûnn/li̍p-tiûnn,0,
150,1,了然,liáu-jiân/liáu-liân,0,
151,1,力量,li̍k-liōng,0,
152,1,刁意故,thiau-ì-kòo,0,
153,1,七爺,Tshit-iâ,0,
154,1,刀銎,to-khing,0,
155,1,又閣,iū-koh,0,
156,1,人影,lâng-iánn,0,
157,1,九層塔,káu-tsàn-thah,0,
158,1,人範,lâng-pān,0,
159,1,人緣,lâng-iân,0,
160,1,入學,ji̍p-o̍h/li̍p-o̍h,0,
161,1,入選,ji̍p-suán/li̍p-suán,0,
162,1,了錢,liáu-tsînn,0,
163,1,人頭,lâng-thâu,0,
164,1,力頭,la̍t-thâu,0,
165,1,入殮,ji̍p-liām/li̍p-liām,0,
166,1,入聲,ji̍p-siann/li̍p-siann,0,
167,1,刁難,thiau-lân,0,
168,1,人權,jîn-khuân/lîn-khuân,0,
169,1,丈,tn̄g,2,一
170,1,三,sam,1,一
171,1,三,sann,2,一
172,1,上,tsiūnn,2,一
173,1,上,tshiūnn,2,一
174,1,上,siōng,1,一
175,1,下,ē,2,一
176,1,下,hā,1,一
177,1,下,hē,2,一
178,1,低,kē,4,人
179,1,个,ê,0,｜
180,1,丸,uân,0,丶
181,1,久,kú,2,丿
182,1,么,io,0,丿
183,1,乞,khit,0,乙
184,1,也,iā,0,乙
185,1,亡,bông,0,亠
186,1,凡,huân,0,丶
187,1,凡,huān,0,丶
188,1,千,tshian,1,十
189,1,千,tshing,2,十
190,1,叉,tshe,0,又
191,1,口,kháu,2,口
192,1,土,thóo,0,土
193,1,士,sū,0,士
194,1,大,ta,4,大
195,1,大,tāi,1,大
196,1,大,tuā,2,大
197,1,女,lí/lú,2,女
198,1,女,lú,1,女
199,1,子,tsí,2,子
200,1,子,tsú,1,子
201,1,子,jí/lí,4,子
202,1,寸,tshùn,0,寸
203,1,小,siáu,1,小
204,1,小,sió,2,小
205,1,山,san,1,山
206,1,山,suann,2,山
207,1,工,kang,2,工
208,1,工,kong,1,工
209,1,己,kí,1,己
210,1,巳,tsī,2,己
211,1,巾,kin/kun,0,巾
212,1,干,kan,0,干
213,1,弓,king,2,弓
214,1,才,tsâi,0,手
215,1,才,tsiah,4,手
216,1,才,tshâi,0,手
217,1,下𦜆,ē-ham,0,
218,1,丈人,tiūnn-lâng,0,
219,1,三八,sam-pat,0,
220,1,土人,thóo-lâng,0,
221,1,大人,tāi-jîn/tāi-lîn,0,
222,1,大人,tuā-lâng,0,
223,1,大力,tuā-la̍t,0,
224,1,小人,siáu-jîn/siáu-lîn,0,
225,1,川七,tshuan-tshit,0,
226,1,工人,kang-lâng,0,
227,1,丈人公,tiūnn-lâng-kong,0,
228,1,三七仔,sam-tshit-á,0,
229,1,丈人爸,tiūnn-lâng-pâ,0,
230,1,三八氣,sam-pat-khuì,0,
231,1,丈人媽,tiūnn-lâng-má,0,
232,1,上久,siōng-kú,0,
233,1,上山,tsiūnn-suann,0,
234,1,下山,hā-san,0,
235,1,久久,kú-kú,0,
236,1,大下,tuā-ē,0,
237,1,小口,sió-kháu,0,
238,1,小工,sió-kang,0,
239,1,才子,tsâi-tsú,0,
240,1,大丈夫,tāi-tiōng-hu,0,
241,1,干干仔,kan-kan-á,0,
242,1,三山國王,Sam-san-kok-ông,0,
243,1,千千萬萬,tshian-tshian-bān-bān,0,
244,1,上山頭,tsiūnn-suann-thâu,0,
245,1,丈公,tiūnn-kong,0,
246,1,上元,Siōng-guân,0,
247,1,下元,Hā-guân,0,
248,1,下勻,ē-ûn,0,
249,1,大不了,tāi-put-liáu,0,
250,1,三不五時,sam-put-gōo-sî,0,
251,1,土公仔,thóo-kong-á,0,
252,1,小丑仔,siáu-thiú-á,0,
253,1,土公仔性,thóo-kong-á-sìng,0,
254,1,上元暝,Siōng-guân-mê/Siōng-guân-mî,0,
255,1,上午,siōng-ngóo,0,
256,1,上天,siōng-thian,0,
257,1,上手,tsiūnn-tshiú,0,
258,1,上水,tshiūnn-tsuí,0,
259,1,下午,hā-ngóo,0,
260,1,下手,hē-tshiú,0,
261,1,下手,ē-tshiú,0,
262,1,下水,hā-suí,0,
263,1,土木,thóo-bo̍k,0,
264,1,大方,tāi-hong,0,
265,1,大日,tuā-ji̍t/tuā-li̍t,0,
266,1,大月,tuā-gue̍h/tuā-ge̍h,0,
267,1,寸尺,tshùn-tshioh,0,
268,1,小心,sió-sim,0,
269,1,小月,sió-gue̍h/sió-ge̍h,0,
270,1,小木,sió-ba̍k,0,
271,1,工夫,kang-hu,0,
272,1,三太子,Sam-thài-tsú,0,
273,1,上尺工,siāng-tshe-kong,0,
274,1,三心兩意,sam-sim-lióng-ì,0,
275,1,大心氣,tuā-sim-khuì,0,
276,1,千斤秤,tshian-kin-tshìn/tshian-kun-tshìn,0,
277,1,三文魚,sam-bûn-hî/sam-bûn-hû,0,
278,1,下水湯,hā-suí-thng,0,
279,1,大爿,tuā-pîng,0,
280,1,丸仔,uân-á,0,
281,1,大兄,tuā-hiann,0,
282,1,工仔,kang-á,0,
283,1,巾仔,kin-á/kun-á,0,
284,1,弓仔,king-á,0,
285,1,大主大意,tuā-tsú-tuā-ì,0,
286,1,大代誌,tuā tāi-tsì,0,
287,1,上加,siōng-ke,0,
288,1,上北,tsiūnn-pak,0,
289,1,下司,ē-si,0,
290,1,土包仔,thóo-pau-á,0,
291,1,小可仔,sió-khuá-á,0,
292,1,大四界,tuā-sì-kè/tuā-sì-kuè,0,
293,1,上卌袂攝,tsiūnn-siap-bē-liap/tsiūnn-siap-buē-liap,0,
294,1,下半暝,ē-puànn-mê/ē-puànn-mî,0,
295,1,上市,tsiūnn-tshī,0,
296,1,下本,hē-pún,0,
297,1,大本,tuā-pún,0,
298,1,小旦,sió-tuànn,0,
299,1,上目,tsiūnn-ba̍k,0,
300,1,口白,kháu-pe̍h,0,
301,1,大目,tuā-ba̍k,0,
302,1,小生,sió-sing,0,
303,1,小玉仔,sió-gio̍k-á,0,
304,1,小白菜,sió-pe̍h-tshài,0,
305,1,大甲蓆,Tāi-kah-tshio̍h,0,
306,1,上任,tsiūnn-jīm/tsiūnn-līm,0,
307,1,久仰,kiú-gióng,0,
308,1,干休,kan-hiu,0,
309,1,大名,tuā-miâ,0,
310,1,大囝,tuā-kiánn,0,
311,1,小名,sió-miâ,0,
312,1,小囝,sió-kiánn,0,
313,1,大同仔,tāi-tông-á,0,
314,1,上好,siōng hó,0,
315,1,也好,iā-hó,0,
316,1,土地,thóo-tē/thóo-tuē,0,
317,1,土地公,Thóo-tī-kong,0,
318,1,下早仔,e-tsái-á,0,
319,1,大耳,tuā-hīnn/tuā-hī,0,
320,1,大舌,tuā-tsi̍h,0,
321,1,大伯,tuā-peh,0,
322,1,大位,tuā-uī,0,
323,1,工作,kang-tsok,0,
324,1,山伯英台,San-phik-Ing-tâi,0,
325,1,大妗,tuā-kīm,0,
326,1,山尾溜,suann-bué-liu/suann-bé-liu,0,
327,1,子弟,tsú-tē,0,
328,1,小弟,sió-tī,0,
329,1,子弟戲,tsú-tē-hì,0,
330,1,三更,sann-kenn/sann-kinn,0,
331,1,三更半暝,sann-kenn-puànn-mê/sann-kinn-puànn-mî,0,
332,1,口灶,kháu-tsàu,0,
333,1,小肚,sió-tōo,0,
334,1,大肚胿,tuā-tōo-kui,0,
335,1,三角,sann-kak,0,
336,1,久見,kiú-kiàn,0,
337,1,山谷,suann-kok,0,
338,1,川芎,tshuan-kiong,0,
339,1,川貝,tshuan-puè,0,
340,1,干貝,kan-puè,0,
341,1,千里眼,Tshian-lí-gán,0,
342,1,三角窗,sann-kak-thang,0,
343,1,三角褲,sann-kak-khòo,0,
344,1,千里鏡,tshian-lí-kiànn,0,
345,1,久來,kú--lâi,0,
346,1,口供,kháu-king,0,
