主編碼,屬性,詞目,音讀,文白,部首
5385,1,美,bí,0,羊
5386,1,耍,sńg,4,而
5387,1,耎,luán,4,而
5388,1,耐,nāi,0,而
5389,1,胃,uī,0,肉
5390,1,背,puē,0,肉
5391,1,胎,thai,1,肉
5392,1,胎,the,2,肉
5393,1,胘,kiān,4,肉
5394,1,胚,phue/phe,0,肉
5395,1,致,tì,0,至
5396,1,美人,bí-jîn/bí-lîn,0,
5397,1,胃口,uī-kháu,0,
5398,1,胃下垂,uī-hā-suî,0,
5399,1,耐心,nāi-sim,0,
5401,1,胛心肉,kah-sim-bah,0,
5402,1,紅毛塗,âng-mn̂g-thôo,0,
5403,1,紅牙,âng-gê,0,
5404,1,背冊,puē-tsheh,0,
5405,1,紅包,âng-pau,0,
5406,1,胃出血,uī-tshut-hueh/uī-tshut-huih,0,
5407,1,紅目,âng-ba̍k,0,
5408,1,耐用,nāi-iōng,0,
5409,1,紅目墘,âng-ba̍k-kînn,0,
5410,1,紅目鰱,âng-ba̍k-liân,0,
5411,1,紅色,âng-sik,0,
5412,1,紅肉李,âng-bah-lí,0,
5413,1,紅尾冬,âng-bué-tang/âng-bé-tang,0,
5414,1,紅豆仔,âng-tāu-á,0,
5415,1,致身命,tì-sin-miā,0,
5416,1,致使,tì-sú,0,
5417,1,紅帖仔,âng-thiap-á,0,
5418,1,耐性,nāi-sìng,0,
5419,1,紅柿,âng-khī,0,
5420,1,背約,puē-iok,0,
5421,1,紅面,âng-bīn,0,
5422,1,紅面鴨,âng-bīn-ah,0,
5423,1,美容,bí-iông,0,
5424,1,胃病,uī-pēnn/uī-pīnn,0,
5425,1,致病,tì-pēnn/tì-pīnn,0,
5426,1,胎神,thai-sîn,0,
5427,1,紅茶,âng-tê,0,
5428,1,紅記記,âng-kì-kì,0,
5429,1,紅酒,âng-tsiú,0,
5430,1,紅莧菜,âng-hīng-tshài,0,
5431,1,美術,bí-su̍t,0,
5432,1,背景,puē-kíng,0,
5433,1,紅棗,âng-tsó,0,
5434,1,胡椒,hôo-tsio,0,
5435,1,紅絳絳,âng-kòng-kòng,0,
5436,1,紅菜,âng-tshài,0,
5437,1,紅菜頭,âng-tshài-thâu,0,
5438,1,紅塗,âng-thôo,0,
5439,1,致意,tì-ì,0,
5440,1,約會,iok-huē,0,
5441,1,紅綵,âng-tshái,0,
5442,1,紅膏赤蠘,âng-ko-tshiah-tshi̍h,0,
5443,1,美德,bí-tik,0,
5444,1,胃潰瘍,uī-khuì-iông,0,
5445,1,致蔭,tì-ìm,0,
5446,1,紅蔥仔頭,âng-tshang-á-thâu,0,
5447,1,紅燒,âng-sio,0,
5448,1,耶穌,Iâ-soo,0,
5449,1,紅魽,âng-kam,0,
5450,1,紅龜,âng-ku,0,
5451,1,紅龜粿,âng-ku-kué/âng-ku-ké,0,
5452,1,紅嬰仔,âng-enn-á/âng-inn-á,0,
5453,1,胃癌,uī-gâm,0,
5454,1,紅糟,âng-tsau,0,
5455,1,紅蟳,âng-tsîm,0,
5456,1,胡蠅,hôo-sîn,0,
5457,1,紅藥水,âng-io̍h-tsuí,0,
5458,1,胡蠅拍仔,hôo-sîn-phah-á,0,
5459,1,胡蠅虎,hôo-sîn-hóo,0,
5460,1,胡蠅屎痣,hôo-sîn-sái-kì,0,
5461,1,胡蠅紙,hôo-sîn-tsuá,0,
5462,1,胡蠅黐,hôo-sîn-thi,0,
5463,1,美麗,bí-lē,0,
5464,1,紅露酒,âng-lōo-tsiú,0,
5465,1,紅鰱魚,âng-liân-hî/âng-liân-hû,0,
5466,1,美觀,bí-kuan,0,
5467,1,苛,khô,4,艸
5468,1,若,ná,2,艸
5469,1,若,nā,2,艸
5470,1,苦,khóo,0,艸
5471,1,苴,tsū,4,艸
5472,1,茂,ōm,4,艸
5473,1,茄,kiô,0,艸
5474,1,虹,khīng,0,虫
5475,1,苦力,ku-lí,0,
5476,1,苦工,khóo-kang,0,
5477,1,苦心,khóo-sim,0,
5478,1,苦毛仔,khóo-mn̂g-á,0,
5479,1,苧仔,tē-á/tuē-á,0,
5480,1,茄仔色,kiô-á-sik,0,
5481,1,茅仔草,hm̂-á-tsháu,0,
5482,1,苦旦,khóo-tuànn,0,
5483,1,苦瓜,khóo-kue,0,
5484,1,苦甘,khóo-kam,0,
5485,1,若有若無,ná ū ná bô,0,
5486,1,若是,nā-sī,0,
5487,1,苦毒,khóo-to̍k,0,
5488,1,苦苦,khóo-khóo,0,
5489,1,茄苳,ka-tang,0,
5490,1,茄茉菜,ka-bua̍h-tshài,0,
5491,1,苦海,khóo-hái,0,
5492,1,茉草,bua̍h-tsháu,0,
5493,1,舢舨仔,sam-pán-á,0,
5494,1,苦茶油,khóo-tê-iû,0,
5495,1,虼蚤,ka-tsáu,0,
5496,1,苦情,khóo-tsîng,0,
5497,1,茉莉花,ba̍k-nī-hue,0,
5498,1,若無,nā-bô,0,
5499,1,英雄,ing-hiông,0,
5500,1,苦楝仔,khóo-līng-á,0,
5501,1,若準,nā-tsún,0,
5502,1,若像,ná-tshiūnn,0,
5503,1,苳蒿,tang-o,0,
5504,1,若親像,ná-tshin-tshiūnn,0,
5505,1,苛頭,khô-thâu,0,
5506,1,苦勸,khóo-khǹg,0,
5507,1,虼蚻,ka-tsua̍h,0,
5508,1,衫,sann,0,衣
5509,1,訂,tīng,0,言
5510,1,計,kè,1,言
5511,1,負,hū,0,貝
5512,1,赴,hù,0,走
5513,1,軍,kun,0,車
5514,1,迫,pik,0,辵
5515,1,郎,lông,1,邑
5516,1,重,tāng,2,里
5517,1,重,tîng,2,里
5518,1,重,tiông,1,里
5519,1,重,tiōng,1,里
5520,1,閂,tshuànn,0,門
5521,1,降,hâng,0,阜
5522,1,降,kàng,0,阜
5523,1,限,ān,2,阜
5524,1,限,hān,1,阜
5525,1,重大,tiōng-tāi,0,
5526,1,重手,tāng-tshiú,0,
5527,1,重手頭,tāng-tshiú-thâu,0,
5528,1,衫仔弓,sann-á-king,0,
5529,1,衫仔裾,sann-á-ki/sann-á-ku,0,
5530,1,衫仔褲,sann-á-khòo,0,
5531,1,衫仔櫥,sann-á-tû,0,
5532,1,郊外,kau-guā,0,
5533,1,重句,tîng-kù,0,
5534,1,郎君,lông-kun,0,
5535,1,重利,tāng-lāi,0,
5536,1,重巡,tîng-sûn,0,
5537,1,軍事,kun-sū,0,
5538,1,限制,hān-tsè,0,
5539,1,軍法,kun-huat,0,
5540,1,迫近,pik-kīn/pik-kūn,0,
5541,1,重穿,tiōng-tshīng,0,
5542,1,重要,tiōng-iàu,0,
5543,1,重重疊疊,tîng-tîng-tha̍h-tha̍h,0,
5544,1,訃音,hù-im,0,
5545,1,重食,tiōng-tsia̍h,0,
5546,1,重倍,tîng-puē,0,
5547,1,迫倚,pik-uá,0,
5548,1,重病,tāng-pēnn/tāng-pīnn,0,
5549,1,重眠,tiōng-bîn,0,
5550,1,重耽,tîng-tânn,0,
5551,1,訂婚,tīng-hun,0,
5552,1,計智,kè-tì,0,
5553,1,重敧爿,tāng-khi-pîng,0,
5554,1,計畫,kè-uē,0,
5555,1,計程車,kè-thîng-tshia,0,
5556,1,計策,kè-tshik,0,
5557,1,重視,tiōng-sī,0,
5558,1,軍隊,kun-tuī,0,
5559,1,重陽節,Tiông-iông-tseh/Tiông-iông-tsueh,0,
5560,1,負債,hū-tsè,0,
5561,1,重傷,tāng-siong,0,
5562,1,重新,tiông-sin,0,
5563,1,降落,kàng-lo̍h,0,
5564,1,計較,kè-kàu,0,
5565,1,軌道,kuí-tō,0,
5566,1,計算,kè-sǹg,0,
5567,1,要緊,iàu-kín,0,
5568,1,要領,iàu-líng,0,
5569,1,限數,ān-siàu,0,
5570,1,負擔,hū-tam,0,
5571,1,重擔,tāng-tànn,0,
5572,1,計謀,kè-bôo,0,
5573,1,重錢,tiōng-tsînn,0,
5574,1,重頭輕,tāng-thâu-khin,0,
5575,1,重聲,tāng-siann,0,
5576,1,降臨,kàng-lîm,0,
5577,1,要點,iàu-tiám,0,
5578,1,軍艦,kun-lām,0,
5579,1,重鹹,tāng-kiâm,0,
5580,1,面,biān,1,面
5581,1,面,bīn,2,面
5582,1,革,kik,0,革
5583,1,音,im,0,音
5584,1,頁,ia̍h,0,頁
5585,1,風,hong,0,風
5586,1,飛,hui,1,飛
5587,1,飛,pue/pe,2,飛
5588,1,食,tsia̍h,2,食
5589,1,食,si̍t,1,食
5590,1,香,hiunn,2,香
5591,1,食人,tsia̍h--lâng,0,
5592,1,食力,tsia̍h-la̍t,0,
5593,1,面子,bīn-tsú,0,
5594,1,面巾,bīn-kin/bīn-kun,0,
5595,1,面水,bīn-tsuí,0,
5596,1,風水,hong-suí,0,
5597,1,風火,hong-hué/hong-hé,0,
5598,1,香火,hiunn-hué/hiunn-hé,0,
5599,1,風火頭,hong-hué-thâu/hong-hé-thâu,0,
5600,1,食外口,tsia̍h-guā-kháu,0,
5601,1,面布,bīn-pòo,0,
5602,1,食奶,tsia̍h-ling/tsia̍h-ni,0,
5603,1,食市,tsia̍h-tshī,0,
5604,1,面皮,bīn-phuê/bīn-phê,0,
5605,1,食名,tsia̍h-miâ,0,
5606,1,面色,bīn-sik,0,
5607,1,食老,tsia̍h-lāu,0,
5608,1,食色,tsia̍h-sik,0,
5609,1,飛行機,hue-lîng-ki,0,
5610,1,風吹,hong-tshue/hong-tshe,0,
5611,1,風吹輪,hong-tshue-lián/hong-tshe-lián,0,
5612,1,風尾,hong-bué/hong-bé,0,
5613,1,面形,bīn-hîng,0,
5614,1,風車,hong-tshia,0,
5615,1,風邪,hong-siâ,0,
5616,1,食命,tsia̍h-miā,0,
5617,1,面油,bīn-iû,0,
5618,1,香油,hiang-iû,0,
5619,1,風波,hong-pho,0,
5620,1,食物,si̍t-bu̍t,0,
5621,1,風雨,hong-ú,0,
5622,1,食便領現,tsia̍h-piān-niá-hiān,0,
5623,1,面前,bīn-tsîng,0,
5624,1,風俗,hong-sio̍k,0,
5625,1,食品,si̍t-phín,0,
5626,1,風度,hong-tōo,0,
5627,1,風流,hong-liû,0,
5628,1,面盆,bīn-phûn,0,
5629,1,食穿,tsia̍h-tshīng,0,
5630,1,食苦,tsia̍h-khóo,0,
5631,1,食食,tsia̍h-si̍t,0,
5632,1,風飛沙,hong-pue-sua,0,
5633,1,食倯,tsia̍h-sông,0,
5634,1,面容,bīn-iông,0,
5635,1,食家己,tsia̍h-ka-kī,0,
5636,1,食桌,tsia̍h-toh,0,
5637,1,香案,hiunn-uànn,0,
5638,1,風氣,hong-khì,0,
5639,1,飛烏,pue-oo,0,
5640,1,香烌,hiunn-hu,0,
5641,1,食祖,tsia̍h-tsóo,0,
5642,1,風神,hong-sîn,0,
5643,1,食秤頭,tsia̍h-tshìn-thâu,0,
5644,1,食堂,si̍t-tn̂g,0,
5645,1,面桶,bīn-tháng,0,
5646,1,食晝,tsia̍h-tàu,0,
5647,1,食清領便,tsia̍h-tshing-niá-piān,0,
5648,1,飛船,pue-tsûn,0,
5649,1,香袋仔,hiunn-tē-á,0,
5650,1,食軟驚硬,tsia̍h-nńg-kiann-ngē/tsia̍h-nńg-kiann-ngī,0,
5651,1,面頂,bīn-tíng,0,
5652,1,飛鳥,pue-tsiáu,0,
5653,1,風喙口,hong-tshuì-kháu,0,
5654,1,風湧,hong-íng,0,
5655,1,香港跤,hiong-káng-kha,0,
5656,1,風琴,hong-khîm,0,
5657,1,風筒,hong-tâng,0,
5658,1,香菇,hiunn-koo,0,
5659,1,香菇肉糜,hiunn-koo-bah-muê/hiunn-koo-bah-bê,0,
5660,1,韭菜,kú-tshài,0,
5661,1,食菜,tsia̍h-tshài,0,
5662,1,韭菜花,kú-tshài-hue,0,
5663,1,風評,hong-phîng,0,
5664,1,食飯桌,tsia̍h-pn̄g-toh,0,
5665,1,食飯廳,tsia̍h-pn̄g-thiann,0,
5666,1,風勢,hong-sè,0,
5667,1,面會,biān-huē,0,
5668,1,食暗,tsia̍h-àm,0,
5669,1,香煙,hiunn-ian,0,
5670,1,食補,tsia̍h-póo,0,
5671,1,食補,si̍t-póo,0,
5672,1,風鼓,hong-kóo,0,
5673,1,飛鼠,pue-tshí/pue-tshú,0,
5674,1,食福,tsia̍h-hok,0,
5676,1,面貌,bīn-māu,0,
5677,1,風颱,hong-thai,0,
5678,1,首領,siú-líng,0,
5679,1,風颱尾,hong-thai-bué/hong-thai-bé,0,
5680,1,風颱雨,hong-thai-hōo,0,
5681,1,飛彈,hui-tuânn,0,
5682,1,面憂面結,bīn-iu-bīn-kat,0,
5683,1,食漿,tsia̍h-tsiunn,0,
5684,1,面模仔,bīn-bôo-á,0,
5685,1,面熟,bīn-si̍k,0,
5686,1,風蔥,hong-tshang,0,
5687,1,音調,im-tiāu,0,
5688,1,食褒,tsia̍h-po,0,
5689,1,風調雨順,hong-tiâu-ú-sūn,0,
5690,1,食醋,tsia̍h-tshòo,0,
5691,1,面積,bīn-tsik,0,
5692,1,食膨餅,tsia̍h-phòng-piánn,0,
5693,1,食錢,tsia̍h-tsînn,0,
5694,1,食錢官,tsia̍h-tsînn-kuann,0,
5695,1,風頭,hong-thâu,0,
5696,1,面頭前,bīn-thâu-tsîng,0,
5697,1,食頭路,tsia̍h-thâu-lōo,0,
5698,1,風溼,hong-sip,0,
5699,1,風聲,hong-siann,0,
5700,1,食臊,tsia̍h-tsho,0,
5701,1,風聲嗙影,hong-siann-pòng-iánn,0,
5702,1,食虧,tsia̍h-khui,0,
5703,1,風霜,hong-song,0,
5704,1,風櫃,hong-kuī,0,
5705,1,食薰,tsia̍h-hun,0,
5706,1,香爐,hiunn-lôo,0,
5707,1,風騷,hong-so,0,
5708,1,風灌,hong-kuàn,0,
5709,1,修,siu,0,人
5710,1,俺,án,4,人
5711,1,倉,tshng,2,人
5712,1,個,kò,0,人
5713,1,倌,kuann,0,人
5714,1,倍,puē,0,人
5715,1,修正,siu-tsìng,0,
5716,1,修行,siu-hīng,0,
5717,1,修改,siu-kái,0,
5718,1,修面,siu-bīn,0,
5719,1,倉庫,tshng-khòo,0,
5720,1,修理,siu-lí,0,
5721,1,修補,siu-póo,0,
5722,1,俱樂部,khū-lo̍k-pōo,0,
5723,1,修養,siu-ióng,0,
5724,1,修整,siu-tsíng,0,
5725,1,倒,tó,0,人
5726,1,倒,tò,0,人
5727,1,倖,sīng,4,人
5728,1,倚,uá,2,人
5729,1,借,tsioh,2,人
5730,1,倩,tshiànn,0,人
5731,1,倯,sông,4,人
5732,1,值,ta̍t,2,人
5733,1,值,ti̍t,1,人
5734,1,兼,kiam,0,八
5735,1,冤,uan,0,冖
5736,1,准,tsún,0,冫
5737,1,凊,tshìn,2,冫
5738,1,凍,tàng,2,冫
5739,1,凍,tòng,1,冫
5740,1,剔,thak,2,刀
5741,1,剝,pak,2,刀
5742,1,借人,tsioh--lâng,0,
5743,1,冤仇,uan-siû,0,
5744,1,冤仇人,uan-siû-lâng,0,
5745,1,倒反,tò-píng,0,
5746,1,倒手,tò-tshiú,0,
5747,1,凊心,tshìn-sim,0,
5748,1,倒手爿,tò-tshiú-pîng,0,
5749,1,倒爿,tò-pîng,0,
5750,1,倒去,tò--khì,0,
5751,1,借用,tsioh-iōng,0,
5752,1,剝皮,pak-phuê/pak-phê,0,
5753,1,兼任,kiam-jīm/kiam-līm,0,
5754,1,倒吊,tò-tiàu,0,
5755,1,倒向,tò-hiànn,0,
5756,1,倚年,uá-nî,0,
5757,1,凊汗,tshìn-kuānn,0,
5758,1,凍舌,tàng-tsi̍h,0,
5759,1,倒店,tó-tiàm,0,
5760,1,冤屈,uan-khut,0,
5761,1,冤枉,uan-óng,0,
5762,1,凌治,lîng-tī,0,
5763,1,倩的,tshiànn--ê,0,
5764,1,倚近,uá-kīn/uá-kūn,0,
5765,1,倒面,tò-bīn,0,
5766,1,冤家,uan-ke,0,
5767,1,冤家量債,uan-ke-niû-tsè,0,
5768,1,值班,ti̍t-pan,0,
5769,1,候脈,hāu-me̍h,0,
5770,1,倒退,tò-thè,0,
5771,1,借問,tsioh-mn̄g,0,
5772,1,冥婚,bîng-hun,0,
5773,1,值得,ta̍t-tit,0,
5774,1,凊彩,tshìn-tshái,0,
5775,1,倚晝,uá-tàu,0,
5776,1,倫理,lûn-lí,0,
5777,1,凍喙齒,tàng-tshuì-khí,0,
5778,1,倒貼,tò-thiap,0,
5779,1,凊飯,tshìn-pn̄g,0,
5780,1,倒剾,tò-khau,0,
5781,1,倒會仔,tó-huē-á/tó-hē-á,0,
5783,1,候補,hāu-póo,0,
5784,1,借過,tsioh-kuè/tsioh-kè,0,
5785,1,倒摔向,tò-siàng-hiànn,0,
5786,1,冤魂,uan-hûn,0,
5787,1,倒彈,tò-tuānn,0,
5788,1,倒數,tó-siàu,0,
5789,1,倒踏,tò-ta̍h,0,
5790,1,倚靠,uá-khò,0,
5791,1,倚壁,uá-piah,0,
5792,1,倒擔,tó-tànn,0,
5793,1,凌遲,lîng-tî,0,
5794,1,候選人,hāu-suán-jîn/hāu-suán-lîn,0,
5795,1,借錢,tsioh tsînn,0,
5796,1,值錢,ta̍t-tsînn,0,
5797,1,倒頭,tò-thâu,0,
5798,1,倒頭行,tò-thâu-kiânn,0,
5799,1,倒頭栽,tò-thâu-tsai,0,
5800,1,凊糜,tshìn-muê/tshìn-bê,0,
5801,1,凍霜,tàng-sng,0,
5802,1,兼職,kiam-tsit,0,
5803,1,倒覆,tò-phak,0,
5804,1,倒轉,tò-tńg,0,
5805,1,借蹛,tsioh-tuà,0,
5806,1,凍露水,tàng-lōo-tsuí,0,
5807,1,兼顧,kiam-kòo,0,
5808,1,勍,khiang,4,力
5809,1,匪,huí,0,匚
5810,1,厝,tshù,0,厂
5811,1,員,uân,1,口
5812,1,哥,ko,0,口
5813,1,哩,--lih,4,口
5814,1,哩,mai,4,口
5815,1,哪,ná,4,口
5816,1,哭,khàu,4,口
5818,1,哹,pu,4,口
5819,1,哺,pōo,4,口
5820,1,哼,hainn,4,口
5821,1,哼,--hngh,4,口
5822,1,哽,kénn,0,口
5823,1,唅,--hannh,4,口
5824,1,唉,haih,0,口
5825,1,唔,onn,4,口
5826,1,唚,tsim,4,口
5827,1,唐山,Tn̂g-suann,0,
5828,1,原子筆,guân-tsú-pit,0,
5829,1,厝內,tshù-lāi,0,
5830,1,哪毋,ná m̄,0,
5831,1,勍仔,khiang-á,0,
5832,1,厝主,tshù-tsú,0,
5833,1,原本,guân-pún,0,
5834,1,哪未,ná buē/ná bē,0,
5835,1,厝瓦,tshù-hiā,0,
5836,1,原在,guân-tsāi,0,
5837,1,厝地,tshù-tē/tshù-tuē,0,
5838,1,厝宅,tshù-the̍h,0,
5839,1,原早,guân-tsá,0,
5840,1,原位,guân-uī,0,
5841,1,原告,guân-kò,0,
5842,1,原形,guân-hîng,0,
5843,1,厝角鳥仔,tshù-kak-tsiáu-á,0,
5844,1,厝角頭,tshù-kak-thâu,0,
5845,1,哭呻,khàu-tshan,0,
5846,1,原底,guân-té/guân-tué,0,
5847,1,哭爸,khàu-pē,0,
5848,1,哭爸哭母,khàu-pē-khàu-bú,0,
5849,1,原則,guân-tsik,0,
5850,1,厝契,tshù-khè/tshù-khuè,0,
5851,1,哭枵,khàu-iau,0,
5852,1,哥哥,ko--koh,0,
5853,1,哼哼叫,hainn-hainn-kiò,0,
5854,1,唔唔睏,onn-onn-khùn,0,
5855,1,哩哩囉囉,li-li-lo-lo,0,
5856,1,原料,guân-liāu,0,
5857,1,原理,guân-lí,0,
5858,1,厝頂,tshù-tíng,0,
5859,1,唚喙,tsim-tshuì,0,
5860,1,厝稅,tshù-suè/tshù-sè,0,
5861,1,哪著,ná-tio̍h,0,
5862,1,哽著,kénn-tio̍h,0,
5863,1,哪會,ná ē,0,
5864,1,厝跤,tshù-kha,0,
5865,1,哭路頭,khàu-lōo-thâu,0,
5866,1,原價,guân-kè,0,
5867,1,哭調仔,khàu-tiāu-á,0,
5868,1,原諒,guân-liōng,0,
5869,1,原頭,guân-thâu,0,
5870,1,厝頭家,tshù-thâu-ke,0,
5871,1,厝邊,tshù-pinn,0,
5872,1,厝邊頭尾,tshù-pinn-thâu-bué/tshù-pinn-thâu-bé,0,
5873,1,匪類,huí-luī,0,
5874,1,唷,--ioh,4,口
5875,1,垺,pû,4,土
5876,1,埋,bâi,0,土
5877,1,埋,tâi,4,土
5878,1,埔,poo,0,土
5879,1,埕,tiânn,0,土
5880,1,夏,hā,1,夊
5881,1,套,thò,0,大
5882,1,娘,niâ,2,女
5883,1,娘,niû,2,女
5884,1,娘𡢃,niû-kán,0,
5885,1,埕斗,tiânn-táu,0,
5886,1,娘仔,niû-á,0,
5887,1,娘仔絲,niû-á-si,0,
5888,1,娘仔葉,niû-á-hio̍h,0,
5889,1,娘仔樹,niû-á-tshiū,0,
5890,1,夏令營,hā-līng-iânn,0,
5891,1,娘仔繭,niû-á-kián,0,
5892,1,埔姜,poo-kiunn,0,
5893,1,娘娘,niû-niû,0,
5894,1,套話,thò-uē,0,
5895,1,娘嬭,niû-lé,0,
5896,1,孫,sun,0,子
5897,1,宮,king,2,宀
5898,1,宮,kiong,1,宀
5899,1,害,hāi,0,宀
5900,1,家,ka,1,宀
5901,1,家,ke,2,宀
5902,1,容,iông,0,宀
5903,1,射,siā,0,寸
5904,1,屑,sut,4,尸
5905,1,展,tián,0,尸
5906,1,展,thián,4,尸
5907,1,屘,ban,0,子
5908,1,島,tó/tóo,0,山
5909,1,崁,khàm,4,山
5910,1,差,tsua̍h,4,工
5911,1,差,tsha,1,工
5912,1,差,tshe,2,工
5913,1,師,sai,2,巾
5914,1,師,su,1,巾
5915,1,席,si̍k,0,巾
5916,1,座,tsō,0,广
5917,1,庫,khòo,0,广
5918,1,害了了,hāi-liáu-liáu,0,
5919,1,宮女,kiong-lí/kiong-lú,0,
5920,1,家己,ka-kī,0,
5921,1,家己人,ka-kī-lâng,0,
5922,1,容允,iông-ín/iông-ún,0,
5923,1,差不多,tsha-put-to,0,
5924,1,師父,su-hū,0,
5925,1,孫仔,sun-á,0,
5926,1,屘仔,ban-á,0,
5927,1,師仔,sai-á,0,
5928,1,師兄,su-hiann,0,
5929,1,害去,hāi--khì,0,
5930,1,師母,su-bió,0,
5931,1,家甲,ke-kah,0,
5932,1,家伙,ke-hué/ke-hé,0,
5933,1,屘囝,ban-kiánn,0,
5934,1,家私,ke-si,0,
5935,1,家事,ka-sū,0,
5936,1,宵夜,siau-iā,0,
5937,1,師姑,su-koo,0,
5938,1,庫房,khòo-pâng,0,
5939,1,家長,ka-tiúnn,0,
5940,1,家門,ka-mn̂g,0,
5941,1,展威,tián-ui,0,
5942,1,家後,ke-āu,0,
5943,1,展風神,tián-hong-sîn,0,
5944,1,家婆,ke-pô,0,
5945,1,家教,ka-kàu,0,
5946,1,差教,tshe-kà,0,
5947,1,崁頂,khàm-tíng,0,
5948,1,師傅,sai-hū,0,
5949,1,孫婿,sun-sài,0,
5950,1,展開,thián-khui,0,
5951,1,宴會,iàn-huē,0,
5952,1,崁跤,khàm-kha,0,
5953,1,師資,su-tsu,0,
5954,1,崁蓋,khàm-kuà,0,
5955,1,容貌,iông-māu,0,
5956,1,庫銀,khòo-gîn/khòo-gûn,0,
5957,1,宮廟,king-biō,0,
5958,1,射箭,siā-tsìnn,0,
5959,1,師範的,su-huān--ê,0,
5960,1,差錯,tsha-tshò,0,
5961,1,庫錢,khòo-tsînn,0,
5962,1,崁頭崁面,khàm-thâu-khàm-bīn,0,
5963,1,展翼,thián-si̍t,0,
5964,1,害蟲,hāi-thâng,0,
5965,1,差額,tsha-gia̍h,0,
5966,1,家譜,ka-phóo,0,
5967,1,展寶,tián-pó,0,
5968,1,展覽,tián-lám,0,
5969,1,弱,jio̍k/lio̍k,0,弓
5970,1,徒,tôo,0,彳
5971,1,恁,lín,4,心
5972,1,恥,thí,0,心
5973,1,恩,in/un,2,心
5974,1,恩,un,1,心
5975,1,恭,kiong,0,心
5976,1,扇,sìnn,2,戶
5977,1,拳,kûn,2,手
5978,1,挈,khe̍h,0,手
5979,1,挐,jû/lû,4,手
5980,1,挨,e,2,手
5981,1,挩,thuah,0,手
5982,1,挨米,e-bí,0,
5983,1,徒弟,tôo-tē,0,
5984,1,恐怖,khióng-pòo,0,
5985,1,挩枋,thuah-pang,0,
5986,1,恁爸,lín-pē,0,
5987,1,挩門,thuah-mn̂g,0,
5988,1,扇面,sìnn-bīn,0,
5989,1,恁娘,lín-niâ,0,
5990,1,恥笑,thí-tshiò,0,
5991,1,恩情,un-tsîng,0,
5992,1,挨推,e-the,0,
5993,1,挨絃仔,e hiân-á,0,
5994,1,恭喜,kiong-hí,0,
5995,1,挩窗,thuah-thang,0,
5996,1,恩愛,un-ài,0,
5997,1,挨粿,e-kué/e-ké,0,
5998,1,挐氅氅,jû-tsháng-tsháng/lû-tsháng-tsháng,0,
5999,1,拳頭,kûn-thâu,0,
6000,1,拳頭拇,kûn-thâu-bú,0,
6001,1,拳頭師,kûn-thâu-sai,0,
6002,1,恐驚,khióng-kiann,0,
6003,1,挵,lòng,4,手
6004,1,挺,thánn,2,手
6005,1,挼,juê/lê,0,手
6006,1,挽,bán,0,手
6007,1,挾,gia̍p,0,手
6008,1,挾,nge̍h,0,手
6009,1,捀,phâng,0,手
6010,1,捅,thóng,0,手
6011,1,捆,khún,0,手
6012,1,捋,lua̍h,0,手
6013,1,捋,luah,4,手
6014,1,捌,bat,4,手
6015,1,捎,sa,0,手
6016,1,捏,lia̍p,0,手
6017,1,捏,tēnn/tīnn,4,手
6018,1,捒,sak,4,手
6019,1,捗,pôo,4,手
6020,1,捘,tsūn,4,手
6021,1,捙,tshia,4,手
6022,1,揤,tshi̍h,4,手
6023,1,敆,kap,0,攴
6024,1,效,hāu,0,攴
6025,1,料,liāu,0,斗
6026,1,旅,lí/lú,2,方
6027,1,時,sî,0,日
6028,1,晃,huánn,4,日
6029,1,效力,hāu-li̍k,0,
6030,1,捀斗,phâng-táu,0,
6031,1,捀水,phâng-tsuí,0,
6032,1,捋仔,lua̍h-á,0,
6033,1,時代,sî-tāi,0,
6034,1,車布邊,tshia pòo-pinn,0,
6035,1,挽回,bán-huê/bán-hê,0,
6036,1,捌字,bat-jī/bat-lī,0,
6037,1,旅行,lí-hîng/lú-hîng,0,
6038,1,時行,sî-kiânn,0,
6039,1,敆作,kap-tsoh,0,
6040,1,捒走,sak-tsáu,0,
6041,1,時辰,sî-sîn,0,
6042,1,捙拚,tshia-piànn,0,
6043,1,旅社,lí-siā/lú-siā,0,
6044,1,挽花,bán hue,0,
6045,1,挵門,lòng mn̂g,0,
6046,1,旅客,lí-kheh/lú-kheh,0,
6047,1,挽面,bán-bīn,0,
6048,1,時候,sî-hāu,0,
6049,1,時時,sî-sî,0,
6050,1,時時刻刻,sî-sî-khik-khik,0,
6051,1,捙畚斗,tshia-pùn-táu,0,
6052,1,挵破,lòng-phuà,0,
6053,1,挽脈,bán-me̍h,0,
6054,1,挽茶,bán tê,0,
6055,1,挽草,bán tsháu,0,
6056,1,捀茶,phâng-tê,0,
6057,1,時陣,sî-tsūn,0,
6058,1,捒做堆,sak-tsò-tui/sak-tsuè-tui,0,
6059,1,振動,tín-tāng,0,
6060,1,時常,sî-siông,0,
6061,1,挽救,bán-kiù,0,
6062,1,挵球,lòng-kiû,0,
6063,1,效率,hāu-lu̍t,0,
6064,1,敆痕,kap-hûn,0,
6065,1,料理,liāu-lí,0,
6066,1,捌貨,bat-huè/bat-hè,0,
6067,1,敆逝,kap-tsuā,0,
6068,1,挽喙齒,bán tshuì-khí,0,
6069,1,旅費,lí-huì/lú-huì,0,
6070,1,捙跋反,tshia-pua̍h-píng,0,
6071,1,時間,sî-kan,0,
6072,1,時勢,sî-sè,0,
